timestep,avg_reward_male,avg_reward_female,fairness_gender,avg_reward_white,avg_reward_nonwhite,fairness_race,avg_reward_under65,avg_reward_65plus,fairness_age
1,0.0,0.8033897429128007,0.19661025708719926,0.0,0.8033897429128007,0.19661025708719926,0.8033897429128007,0.0,0.19661025708719926
102,0.15294700687720555,0.19080300849534348,0.962143998381862,0.16823642341324496,0.1786988800502193,0.9895375433630257,0.191568320023213,0.1315643793332052,0.9399960593099922
203,0.2547573608982255,0.3060981324361093,0.9486592284621163,0.2792483335500679,0.28925800024563525,0.9899903333044326,0.27169754674957364,0.294461911013119,0.9772356357364547
304,0.2912825437663631,0.31422494161902903,0.9770576021473341,0.30620627091087044,0.2904542177857578,0.9842479468748874,0.29464601743637553,0.3133641524704651,0.9812818649659104
405,0.2960248416126358,0.3083114456790845,0.9877133959335513,0.3027261894268399,0.3002092771575957,0.9974830877307559,0.2935512866816191,0.3136623945906394,0.9798888920909797
506,0.30921738080585515,0.2923722466370367,0.9831548658311815,0.29974183013308436,0.30356378984821136,0.996178040284873,0.29801270523362716,0.3045122461713257,0.9935004590623014
607,0.32038763939699705,0.30332050068161914,0.9829328612846221,0.31323030420227105,0.3081840859051047,0.9949537817028337,0.31437243801711057,0.30823448016822574,0.9938620421511152
708,0.32923801243382445,0.3110643477915098,0.9818263353576854,0.32506225081281825,0.30704174808135654,0.9819794972685383,0.3251911564986519,0.31251065557061364,0.9873194990719618
809,0.3349186700420947,0.3110736438176067,0.976154973775512,0.32633191583350263,0.3140251984165525,0.9876932825830499,0.3282419664203773,0.31481245254430856,0.9865704861239313
910,0.323704202543624,0.30135463350008806,0.9776504309564641,0.314182881093427,0.3079659609382452,0.9937830798448182,0.3219306629279794,0.29837935665137644,0.976448693723397
1011,0.3285614428259694,0.3041079825894825,0.9755465397635131,0.3196332991036408,0.30698372917982325,0.9873504300761824,0.32550221510736926,0.30249821317447334,0.9769959980671041
1112,0.3379033142938278,0.31384168618212643,0.9759383718882986,0.32566824215125545,0.32577821665138523,0.9998900254998702,0.3318139526887299,0.31673770401881707,0.9849237513300872
1213,0.3324186948847835,0.31963370987061157,0.9872150149858281,0.3258869910075354,0.32613343063228994,0.9997535603752454,0.3318145973941733,0.3173452989062361,0.9855307015120628
1314,0.33407890168665483,0.3226972427093857,0.9886183410227309,0.3288751758808334,0.32683368415564945,0.997958508274816,0.3376466252646382,0.31445698252218907,0.9768103572575508
1415,0.3331353607573496,0.31849788380286814,0.9853625230455185,0.3263353076339231,0.3241469824845719,0.9978116748506488,0.3351537999886222,0.31169482464803144,0.9765410246594093
1516,0.3370451838868095,0.3223896620810479,0.9853444781942384,0.32819949794334485,0.3329002831951271,0.9952992147482178,0.33753399576974624,0.31808254806898,0.9805485522992338
1617,0.3365191137212935,0.3283980908313876,0.9918789771100941,0.3311706652171285,0.3350885137440545,0.996082151473074,0.3413486255998893,0.3194363218253241,0.9780876962254348
1718,0.33984294033458384,0.33737057040320617,0.9975276300686223,0.3396137579713163,0.33617797947012945,0.9965642214988131,0.3462919956260342,0.3273911373907114,0.9810991417646773
1819,0.3432293357114157,0.343341491962909,0.9998878437485067,0.3435863258739989,0.342607817986253,0.9990214921122541,0.35228911115591416,0.33010155449820344,0.9778124433422892
1920,0.34753708984412585,0.3479308698853146,0.9996062199588113,0.3461714673850281,0.35132461921841757,0.9948468481666105,0.357446167576252,0.33346569068485293,0.9760195231086009
2021,0.34907501698797977,0.34743694393011193,0.9983619269421322,0.346266827525528,0.3527114729097489,0.9935553546157792,0.3590081447648839,0.3322680344890231,0.9732598897241391
